Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,-,Uncanny X-Men,367,$1.99,Marvel,"130,872"
2,-,X-Men,87,$1.99,Marvel,"129,409"
3,-,Battle Chasers (resolicited),5,$2.50,DC,"109,525"
4,-,Danger Girl (resolicited),5,$2.50,DC,"101,181"
5,-,Earth X,1,$2.99,Marvel,"98,972"
6,-,Spawn,83,$1.95,Image,"98,162"
7,-,Avengers,15,$1.99,Marvel,"90,048"
8,-,Wolverine,137,$1.99,Marvel,"88,534"
9,-,JLA,28,$1.99,DC,"85,615"
10,-,Daredevil,6,$2.50,Marvel,"79,591"
11,-,Amazing Spider-Man,4,$1.99,Marvel,"78,781"
12,-,Hulk,1,$2.99,Marvel,"77,839"
13,-,Peter Parker Spider-Man,4,$1.99,Marvel,"73,535"
14,-,Fantastic Four,16,$1.99,Marvel,"72,195"
15,-,Thor,10,$1.99,Marvel,"67,396"
16,-,Captain America,16,$1.99,Marvel,"66,875"
17,-,Gambit,3,$1.99,Marvel,"66,559"
18,-,Iron Man,15,$1.99,Marvel,"63,783"
19,-,Mutant X,7,$1.99,Marvel,"62,667"
20,-,Avengers Forever,5,$2.99,Marvel,"62,584"
21,-,Spider-Man Chapter 1,6,$2.50,Marvel,"59,254"
22,-,Witchblade,30,$2.50,Image,"58,669"
23,-,Crimson,9,$2.50,DC,"57,502"
24,-,Darkness,22,$2.50,Image,"55,023"
25,-,Generation X,50,$2.99,Marvel,"54,072"
26,-,X-Man,50,$2.99,Marvel,"49,927"
27,-,X-Force,89,$1.99,Marvel,"49,662"
28,-,Aria,3,$2.50,Image,"48,615"
29,-,Inhumans,6,$2.99,Marvel,"48,500"
30,-,Green Lantern,111,$1.99,DC,"48,061"
31,-,Titans,2,$2.50,DC,"46,986"
32,-,Spider-Girl,7,$1.99,Marvel,"46,616"
33,-,Cable,66,$1.99,Marvel,"46,071"
34,-,Batman,564,$1.99,DC,"45,742"
35,-,Thunderbolts,25,$2.99,Marvel,"44,978"
36,-,Buffy The Vampire Slayer,6,$2.95,Dark Horse,"44,964"
37,-,Kiss Psycho Circus,17,$2.25,Image,"43,729"
38,-,Detective Comics,731,$1.99,DC,"43,212"
39,-,Nightwing,30,$1.99,DC,"43,062"
40,-,Crow,1,$2.50,Image,"42,723"
