Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,1,New Avengers,24,$2.99,Marvel,"136,749"
2,11,52,22,$2.50,DC,"108,574"
3,12,52,23,$2.50,DC,"107,913"
4,13,52,24,$2.50,DC,"107,364"
5,4,Civil War Front Line,7,$2.99,Marvel,"106,540"
6,16,52,25,$2.50,DC,"106,284"
7,5,Wolverine,47,$2.99,Marvel,"106,153"
8,2,Justice,8,$3.50,DC,"103,782"
9,6,Wolverine Origins,7,$2.99,Marvel,"103,226"
10,7,Ultimate Power,1,$2.99,Marvel,"102,640"
11,14,Uncanny X-Men,479,$2.99,Marvel,"89,011"
12,15,Fantastic Four,540,$2.99,Marvel,"88,893"
13,17,Civil War X-Men,4,$2.99,Marvel,"88,649"
14,18,Wildcats,1,$2.99,DC,"82,490"
15,3,Superman Batman Annual,1,$3.99,DC,"81,891"
16,19,X-Men,192,$2.99,Marvel,"81,779"
17,20,Captain America,23,$2.99,Marvel,"81,286"
18,21,Ultimate Spider-Man,101,$2.99,Marvel,"78,927"
19,22,Action Comics,844,$2.99,DC,"78,833"
20,8,Civil War Choosing Sides,0,$3.99,Marvel,"74,577"
21,9,Ultimate X-Men,75,$3.99,Marvel,"73,804"
22,23,Ms Marvel,8,$2.99,Marvel,"62,864"
23,24,Detective Comics,824,$2.99,DC,"62,403"
24,25,Flash Fastest Man Alive,5,$2.99,DC,"61,548"
25,26,Ultimate Fantastic Four,35,$2.99,Marvel,"61,242"
26,27,Heroes For Hire,3,$2.99,Marvel,"60,743"
27,28,Authority,1,$2.99,DC,"58,109"
28,10,Giant Size Wolverine,1,$4.99,Marvel,"55,401"
29,30,X-Men Phoenix Warsong,2,$2.99,Marvel,"54,702"
30,32,Sensational Spider-Man,31,$2.99,Marvel,"51,563"
31,33,Ghost Rider,4,$2.99,Marvel,"50,902"
32,34,Daredevil,90,$2.99,Marvel,"50,477"
33,35,Incredible Hulk,99,$2.99,Marvel,"47,857"
34,36,Gen 13,1,$2.99,DC,"47,513"
35,38,Amazing Spider-Girl,1,$2.99,Marvel,"47,282"
36,39,Friendly Neighborhood Spider-Man,13,$2.99,Marvel,"46,272"
37,41,Green Lantern Corps,5,$2.99,DC,"43,526"
38,42,X-Factor,12,$2.99,Marvel,"42,889"
39,43,Supergirl & Legion of Super-Heroes,23,$2.99,DC,"41,535"
40,29,Seven Soldiers,1,$3.99,DC,"41,336"
41,44,Annihilation,3,$2.99,Marvel,"41,273"
42,45,Doctor Strange Oath,1,$2.99,Marvel,"40,262"
43,31,New X-Men,31,$3.99,Marvel,"39,158"
44,46,Ion,7,$2.99,DC,"38,777"
45,47,Nightwing,125,$2.99,DC,"38,453"
46,49,Trials of Shazam,3,$2.99,DC,"38,378"
47,50,Outsiders,41,$2.99,DC,"36,655"
48,51,Secret Six,5,$2.99,DC,"36,612"
49,37,Tales of the Unexpected,1,$3.99,DC,"35,470"
50,54,Star Wars Legacy,4,$2.99,Dark Horse,"34,346"
51,55,Deathblow,1,$2.99,DC,"34,041"
52,56,Punisher,39,$2.99,Marvel,"33,947"
53,57,X-Men First Class,2,$2.99,Marvel,"33,672"
54,58,New Excalibur,12,$2.99,Marvel,"33,067"
55,59,Robin,155,$2.99,DC,"32,936"
56,60,Green Arrow,67,$2.99,DC,"32,568"
57,61,Planetary,26,$2.99,DC,"32,268"
58,62,Exiles,87,$2.99,Marvel,"31,931"
59,64,Cable Deadpool,33,$2.99,Marvel,"30,727"
60,65,Birds of Prey,99,$2.99,DC,"30,371"
61,66,Thunderbolts,107,$2.99,Marvel,"29,610"
62,68,Irredeemable Ant-Man,1,$2.99,Marvel,"29,485"
63,69,Martian Manhunter,3,$2.99,DC,"29,273"
64,70,Conan,33,$2.99,Dark Horse,"29,123"
65,48,Mystery in Space,2,$3.99,DC,"28,768"
66,71,All New Atom,4,$2.99,DC,"28,437"
67,73,Anita Blake VH Guilty Pleasures,1,$2.99,Marvel,"28,237"
68,74,Wetworks,2,$2.99,DC,"28,169"
69,75,Shadowpact,6,$2.99,DC,"27,264"
70,116,Amazing Spider-Girl,0,$1.99,Marvel,"27,226"
71,52,Claws,3,$3.99,Marvel,"27,201"
72,76,Blade,2,$2.99,Marvel,"27,158"
73,53,Hellstorm Son of Satan,1,$3.99,Marvel,"27,033"
74,77,Worldstorm,1,$2.99,DC,"27,020"
75,78,Y The Last Man,50,$2.99,DC,"26,789"
76,79,JSA Classified,18,$2.99,DC,"26,771"
77,80,Omac,4,$2.99,DC,"26,733"
78,63,Marvel 1602 Fantastick Four,2,$3.50,Marvel,"26,690"
79,81,Uncle Sam & Freedom Fighters,4,$2.99,DC,"26,515"
80,82,Boys,3,$2.99,DC,"26,403"
81,84,Checkmate,7,$2.99,DC,"26,290"
82,85,Battlestar Galactica,2,$2.99,Dynamic,"26,122"
83,86,Black Panther,21,$2.99,Marvel,"26,066"
84,87,JLA Classified,28,$2.99,DC,"25,991"
85,88,Criminal,1,$2.99,Marvel,"25,966"
86,91,Spawn,161,$2.95,Image,"25,828"
87,89,Runaways,21,$2.99,Marvel,"25,541"
88,90,Fables,54,$2.99,DC,"25,523"
89,92,Red Sonja,15,$2.99,Dynamic,"25,292"
90,94,Boys,4,$2.99,DC,"24,836"
91,72,Batman & Mad Monk,3,$3.50,DC,"24,287"
92,95,Batman Legends of the Dark Knight,211,$2.99,DC,"24,225"
93,96,Star Wars Knights of the Old Republic,9,$2.99,Dark Horse,"24,218"
94,97,Catwoman,60,$2.99,DC,"24,106"
95,98,Beyond,4,$2.99,Marvel,"23,782"
96,100,Omega Men,1,$2.99,DC,"23,526"
97,102,Powers,20,$2.95,Marvel,"22,933"
98,103,Nextwave Agents of Hate,9,$2.99,Marvel,"22,346"
99,67,Stan Lee Meets Dr Strange,0,$3.99,Marvel,"22,128"
100,104,Hunter Killer,8,$2.99,Image,"21,760"
101,999,Jack of Fables,4,$2.99,DC,"21,604"
102,999,Creeper,3,$2.99,DC,"21,123"
103,999,Conan & Songs of the Dead,4,$2.99,Dark Horse,"21,061"
104,999,Union Jack,2,$2.99,Marvel,"20,861"
105,999,Highlander,1,$2.99,Dynamic,"20,543"
106,999,Hawkgirl,57,$2.99,DC,"19,900"
107,999,Zombie,2,$3.99,Marvel,"19,763"
108,999,Spawn Godslayer One Shot,0,$6.99,Image,"19,532"
109,999,Savage Red Sonja Qotfw,3,$3.50,Dynamic,"19,332"
110,999,Lone Ranger,2,$2.99,Dynamic,"19,264"
111,999,All New Off Handbook Marvel Universe A To Z,10,$3.99,Marvel,"18,758"
112,999,Nightmare of Elm Street,1,$2.99,DC,"18,727"
113,999,Jonah Hex,12,$2.99,DC,"18,290"
114,999,Stan Lee Meets Thing,0,$3.99,Marvel,"17,772"
115,999,Transformers Stormbringer,4,$2.99,IDW,"17,442"
116,999,G.I. Joe Americas Elite,16,$2.95,Devil's Due,"17,317"
117,999,Marvel Team-Up,25,$2.99,Marvel,"17,298"
118,999,Classic Battlestar Galactica,1,$2.99,Dynamic,"16,493"
119,999,Firestorm Nuclear Man,30,$2.99,DC,"16,487"
120,999,Desolation Jones,7,$2.99,DC,"16,237"
121,999,Neil Gaimans Neverwhere,9,$2.99,DC,"16,062"
122,999,Transformers Animated Movie Adaptation,1,$3.99,IDW,"15,476"
123,999,DMZ,12,$2.99,DC,"14,633"
124,999,Civil War Front Line,2,$2.99,Marvel,"14,559"
125,999,John Woos Seven Brothers,1,$2.99,Virgin,"14,540"
126,999,Darkman Vs Army of Darkness,1,$3.50,Dynamic,"13,903"
127,999,Civil War Front Line,3,$2.99,Marvel,"13,704"
128,999,Hellblazer,225,$2.99,DC,"13,622"
129,999,Xena,3,$3.50,Dynamic,"13,454"
130,999,Transformers Spotlight Nightbeat,0,$3.99,IDW,"13,398"
131,999,100 Bullets,77,$2.99,DC,"13,048"
132,999,Deadman,3,$2.99,DC,"12,930"
133,999,Agents of Atlas,3,$2.99,Marvel,"12,924"
134,999,Loveless,12,$2.99,DC,"12,612"
135,999,Street Fighter Legends Sakura,2,$3.95,Udon,"12,574"
136,999,Escapists,4,$2.99,Dark Horse,"12,431"
137,999,Other Side,1,$2.99,DC,"12,331"
138,999,New Avengers,21 2nd Ptg Var,$2.99,Marvel,"12,281"
139,999,Cyberforce,6,$2.99,Image,"11,900"
140,999,G.I. Joe Declassified,3 Cvr A,$4.95,Devil's Due,"11,744"
