Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,-,Witchblade Tomb Raider,1,$2.95,Image,"190,720"
2,-,X-Men,85,$1.99,Marvel,"135,558"
3,-,Uncanny X-Men,365,$1.99,Marvel,"134,677"
4,-,X-Men,84,$1.99,Marvel,"131,203"
5,-,Gambit,1,$2.99,Marvel,"117,437"
6,-,Spawn,81,$1.95,Image,"103,368"
7,-,Amazing Spider-Man,2,$1.99,Marvel,"102,477"
8,-,Kingdom,1,$2.95,DC,"101,097"
9,-,Peter Parker Spider-Man,2,$1.99,Marvel,"96,489"
10,-,Wolverine,134,$1.99,Marvel,"95,890"
11,-,Kingdom,2,$2.95,DC,"95,556"
12,-,Wolverine,135,$1.99,Marvel,"94,887"
13,-,Avengers,13,$1.99,Marvel,"94,752"
14,-,JLA,26,$1.99,DC,"89,255"
15,-,Daredevil,4,$2.50,Marvel,"83,414"
16,-,Aria,1,$2.50,Image,"81,425"
17,-,Fantastic Four,14,$1.99,Marvel,"78,655"
18,-,Captain America,14,$1.99,Marvel,"72,727"
19,-,Spider-Man Chapter 1,4,$2.50,Marvel,"71,920"
20,-,Mutant X,5,$1.99,Marvel,"70,934"
21,-,Thor,8,$1.99,Marvel,"70,730"
22,-,Avengers Forever,3,$2.99,Marvel,"70,113"
23,-,JLA Titans,3,$2.95,DC,"69,696"
24,-,Iron Man,13,$2.99,Marvel,"69,566"
25,-,Kingdom Son of the Bat,1,$1.99,DC,"68,224"
26,-,Kingdom Planet Krypton,1,$1.99,DC,"65,832"
27,-,Kingdom Nightstar,1,$1.99,DC,"65,680"
28,-,Kingdom Kid Flash,1,$1.99,DC,"65,541"
29,-,Webspinners Tales of Spider-Man,2,$2.50,Marvel,"64,181"
30,-,Kingdom Offspring,1,$1.99,DC,"61,641"
31,-,Tomb Raider Witchblade Revisited,1,$2.95,Image,"59,622"
32,-,Generation X,48,$1.99,Marvel,"54,519"
33,-,Spider-Girl,5,$1.99,Marvel,"54,450"
34,-,X-Force,87,$1.99,Marvel,"53,182"
35,-,Curse of the Spawn,28,$1.95,Image,"52,774"
36,-,Inhumans,4,$2.99,Marvel,"52,101"
37,-,Green Lantern,109,$1.99,DC,"52,079"
38,-,Buffy The Vampire Slayer,4,$2.95,Dark Horse,"51,805"
39,-,Wolverine Winter Special,,$2.99,Marvel,"50,854"
40,-,Star Wars,1,$2.50,Dark Horse,"49,322"
41,-,X-Men Liberators,4,$2.99,Marvel,"49,274"
42,-,Black Panther,4,$2.50,Marvel,"48,774"
43,-,X-Man,48,$1.99,Marvel,"48,171"
44,-,Doctor Strange,1,$2.99,Marvel,"47,702"
45,-,Superman,142,$1.99,DC,"47,407"
46,-,Punisher,4,$2.99,Marvel,"47,285"
47,-,Cable,64,$1.99,Marvel,"47,202"
48,-,Kiss Psycho Circus,16,$2.25,Image,"47,146"
49,-,Fantastic Four & Fantastic Four 98,,$3.50,Marvel,"47,098"
50,-,Captain America Sentinel of Liberty,6,$2.99,Marvel,"45,457"
51,-,Coven Vol. 2,1,$2.50,Awesome,"45,296"
52,-,Legends of the DC Universe Crisis On Infinite Earths,,$4.95,DC,"45,157"
53,-,Batman Hellboy Starman,2,$2.50,DC,"44,779"
54,-,Incredible Hulk,473,$1.99,Marvel,"44,501"
55,-,Action Comics,751,$1.99,DC,"43,424"
56,-,Batman,562,$1.99,DC,"43,424"
57,-,Nightwing,28,$1.99,DC,"43,377"
58,-,Adventures of Superman,564,$1.99,DC,"43,077"
59,-,Thunderbolts,23,$1.99,Marvel,"43,064"
60,-,Team X 2000,,$3.50,Marvel,"42,734"
61,-,Superman Man of Steel,86,$1.99,DC,"42,621"
62,-,Detective Comics,729,$1.99,DC,"42,408"
63,-,Gen 13,36,$2.50,Image,"42,187"
64,-,Flash,145,$1.99,DC,"41,605"
65,-,Clerks Holiday Special,,$2.95,Oni,"41,036"
66,-,Young Justice,5,$2.50,DC,"40,433"
67,-,Preacher,46,$2.50,DC,"40,120"
68,-,A Next,5,$1.99,Marvel,"39,794"
69,-,Deadpool,25,$2.99,Marvel,"39,703"
70,-,Ascension,12,$2.50,Image,"39,690"
71,-,Superman & Batman Generations,2,$4.95,DC,"38,548"
72,-,Darkminds,6,$2.50,Image,"37,810"
73,-,Star Wars Crimson Empire II,2,$2.95,Dark Horse,"36,459"
74,-,J2,5,$1.99,Marvel,"35,973"
75,-,Spirit of Tao,6,$2.50,Image,"35,908"
76,-,Batman Shadow of the Bat,82,$1.99,DC,"35,443"
77,-,Slingers,3,$1.99,Marvel,"34,918"
78,-,Earth X Sketchbook,,$3.99,Marvel,"34,040"
79,-,X-Men Universe Past Present & Future,,$2.99,Marvel,"33,984"
80,-,Alpha Flight,19,$1.99,Marvel,"33,506"
81,-,Catwoman,65,$1.99,DC,"33,350"
82,-,Lady Pendragon,2,$2.50,Image,"33,350"
83,-,Generation X Holiday Special,,$3.50,Marvel,"33,311"
84,-,Robin,61,$1.99,DC,"33,281"
85,-,Batman Legends of the Dark Knight,115,$1.99,DC,"32,547"
86,-,Martian Manhunter,3,$1.99,DC,"32,412"
87,-,Supergirl,29,$1.99,DC,"31,709"
88,-,Superman 80 Page Giant,1,$4.95,DC,"31,704"
89,-,Moon Knight,1,$2.99,Marvel,"31,687"
90,-,Legends of the DC Universe,13,$1.99,DC,"31,274"
91,-,Starman,50,$3.95,DC,"30,623"
92,-,Wonder Woman,141,$1.99,DC,"30,432"
93,-,Star Wars Mara Jade By The Emperors Hand,5,$2.95,Dark Horse,"30,098"
94,-,Gen 13 Magical Drama Queen Roxy,3,$3.50,Image,"28,760"
95,-,Birds of Prey,2,$1.99,DC,"28,552"
96,-,Batman Beyond,1,$1.99,DC,"28,369"
97,-,Moon Knight,2,$2.99,Marvel,"28,352"
98,-,Pitt,20,$2.50,Full Bleed,"27,661"
99,-,Superman A Nation Divided,,$4.95,DC,"27,657"
100,-,Moon Knight,3,$2.99,Marvel,"27,383"
101,-,Lady Death,12,$2.95,Chaos,"27,001"
102,-,Moon Knight,4,$2.99,Marvel,"26,945"
103,-,Star Wars Jedi Academy Leviathan,3,$2.95,Dark Horse,"26,919"
104,-,Batman Beyond,2,$1.99,DC,"26,489"
105,-,Aquaman,52,$1.99,DC,"25,503"
106,-,Batman Reign of Terror,,$4.95,DC,"24,470"
107,-,Star Wars The Jabba Tape,,$2.95,Dark Horse,"24,344"
108,-,Superboy,59,$1.99,DC,"23,949"
109,-,Hitman,34,$2.50,DC,"23,910"
110,-,Marvel Remix Fantastic Four Fireworks,2,$2.99,Marvel,"23,679"
111,-,Wildcore,10,$2.50,Image,"23,584"
